n_tokens_en,n_tokens_tr,fertility_ratio,n_words_en,n_words_tr,tokens_per_word_en,tokens_per_word_tr,idx
36,61,1.6944444444444444,26,30,1.3846153846153846,2.033333333333333,655
46,69,1.5,41,35,1.1219512195121952,1.9714285714285715,1036
68,131,1.9264705882352942,54,61,1.2592592592592593,2.1475409836065573,124
50,80,1.6,42,45,1.1904761904761905,1.7777777777777777,670
74,49,0.6621621621621622,53,29,1.3962264150943395,1.6896551724137931,928
97,109,1.1237113402061856,78,53,1.2435897435897436,2.056603773584906,53
60,38,0.6333333333333333,45,19,1.3333333333333333,2.0,703
54,75,1.3888888888888888,41,40,1.3170731707317074,1.875,1169
58,82,1.4137931034482758,47,44,1.2340425531914894,1.8636363636363635,204
57,71,1.2456140350877194,50,38,1.14,1.868421052631579,1082
45,92,2.0444444444444443,36,40,1.25,2.3,912
46,44,0.9565217391304348,37,21,1.2432432432432432,2.0952380952380953,434
45,53,1.1777777777777778,33,27,1.3636363636363635,1.962962962962963,773
41,29,0.7073170731707317,30,19,1.3666666666666667,1.5263157894736843,1177
50,135,2.7,34,61,1.4705882352941178,2.2131147540983607,533
